,ID,comments,cleaned_comments
0,_8Um0DEEjkM,"I just saw this movie, and i now have a 10 month girl, and i was like the Magical pregnancy unicorn girl, but now its a different story but this movie made me miss my pregnancy so much,  i really did enjoyed my pregnancy i ate so much and never gained any pound, my hair was so thick and long, my body looked so good, never got swollen feet, no stretch marks but ended up having emergency c section after i stop at 5 cm, but also it took me 5 years to get pregnant, i had also a bleeding at 2 months pregnant nothing serious but i got scared because i thought the worst, so i did relate to all characters but honestly i would love to do this again",saw movi month girl like magic pregnanc unicorn girl differ stori movi made miss pregnanc much realli enjoy pregnanc ate much never gain pound hair thick long bodi look good never got swollen feet stretch mark end emerg c section stop cm also took year get pregnant also bleed month pregnant noth seriou got scare thought worst relat charact honestli would love
1,_8Um0DEEjkM,Not bad my only personal pet peeve which is not a overall bad movie thing but just something that bugs me is these were all different stories so it was jumping from couple to couple. I was hoping it made them all know eachother in some form. But these couples all are different story lines so it jumps from one couples story to another and it gets annoying keeping up with multiple different stories in it vs keeping up with everyone in one….  same story.,bad person pet peev overal bad movi thing someth bug differ stori jump coupl coupl hope made know eachoth form coupl differ stori line jump one coupl stori anoth get annoy keep multipl differ stori vs keep everyon one stori
2,_8Um0DEEjkM,Having baby fever so watching a bunch of movies about pregnancy,babi fever watch bunch movi pregnanc
3,_8Um0DEEjkM,ZO’n SLECHTE film 🤮,zo n slecht film
4,_8Um0DEEjkM,Shown in:<br>New Year&#39;s Eve<br>This Means War<br>The Hunger Games<br>Think Like a Man,shown new year evethi mean warth hunger gamesthink like man
5,_8Um0DEEjkM,"The book what to expect when you are expecting is here <br><br>What to Expect When You&#39;re Expecting | by Heidi Murkoff | Audio <a href=""http://www.youtube.com/results?search_query=%23book50"">#book50</a><br><a href=""https://youtu.be/Lq0nRD-B-A8"">https://youtu.be/Lq0nRD-B-A8</a>",book expect expect expect expect heidi murkoff audio book http youtu lq nrd b
6,_8Um0DEEjkM,The biceps on Australia beard man though. The abs. LAWD have mercy,bicep australia beard man though ab lawd merci
7,_8Um0DEEjkM,The big papa song with the inhalers above the small infant though 😂,big papa song inhal small infant though
8,_8Um0DEEjkM,My mom def wasn’t glowing while preggers with me. I was 8 pounds sooo,mom def glow pregger pound sooo
9,_8Um0DEEjkM,I dont knw why there is so many less views for this beautiful movie..i think every pregnant women should watch it. Its worth watching..the end scene just got me crying like hell..,dont knw mani less view beauti movi think everi pregnant women watch worth watch end scene got cri like hell
